Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1488555,2011-05-16,2011-05-16,,The Change-Up,https://www.imdb.com/title/tt1488555/,movie,6.3,112,2011,"Comedy, Fantasy",163241,2011-08-01,David Dobkin,9,2017-04-27
29,tt1885265,2012-01-08,2012-01-08,,Good Deeds,https://www.imdb.com/title/tt1885265/,movie,5.5,129,2012,"Comedy, Drama, Romance",7317,2012-02-14,Tyler Perry,7,2017-04-27
30,tt1389137,2012-01-08,2012-01-08,,We Bought a Zoo,https://www.imdb.com/title/tt1389137/,movie,7.1,124,2011,"Comedy, Drama, Family",132347,2011-11-26,Cameron Crowe,6,2017-04-27
31,tt1588334,2012-01-25,2012-01-25,,"Jeff, Who Lives at Home",https://www.imdb.com/title/tt1588334/,movie,6.5,83,2011,"Comedy, Drama",61285,2011-09-14,"Mark Duplass, Jay Duplass",7,2017-05-01
2,tt1622547,2011-05-16,2011-05-16,,30 Minutes or Less,https://www.imdb.com/title/tt1622547/,movie,6.1,83,2011,"Action, Comedy, Crime",92199,2011-08-11,Ruben Fleischer,8,2017-04-27
3,tt0409847,2011-05-16,2011-05-16,,Cowboys & Aliens,https://www.imdb.com/title/tt0409847/,movie,6.0,119,2011,"Action, Sci-Fi, Thriller, Western",204398,2011-07-29,Jon Favreau,8,2017-04-27
26,tt1366344,2011-12-25,2011-12-25,,The Sitter,https://www.imdb.com/title/tt1366344/,movie,5.7,81,2011,Comedy,67406,2011-12-09,David Gordon Green,6,2017-04-27
27,tt1456635,2012-01-08,2012-01-08,,Goon,https://www.imdb.com/title/tt1456635/,movie,6.8,92,2011,"Comedy, Drama, Sport",82778,2011-09-10,Michael Dowse,8,2017-04-27
28,tt1345836,2012-01-08,2012-01-08,,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,movie,8.4,164,2012,"Action, Adventure",1475363,2012-07-16,Christopher Nolan,7,2017-04-27
