Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1488555,2011-05-16,2011-05-16,,The Change-Up,https://www.imdb.com/title/tt1488555/,movie,6.3,112,2011,"Comedy, Fantasy",163254,2011-08-01,David Dobkin,9,2017-04-27
142,tt1343755,2016-04-19,2016-04-19,,Zweiohrk�ken,https://www.imdb.com/title/tt1343755/,movie,5.6,124,2009,"Comedy, Romance",7596,2009-12-01,Til Schweiger,8,2017-04-27
143,tt1255955,2016-04-19,2016-04-19,,M�nnerherzen,https://www.imdb.com/title/tt1255955/,movie,6.2,107,2009,Comedy,4766,2009-10-08,Simon Verhoeven,9,2017-04-27
477,tt0202806,2017-08-14,2017-08-14,,"Die Bademeister - Weiber, saufen, Leben retten",https://www.imdb.com/title/tt0202806/,tvMovie,3.8,90,1999,Comedy,544,1999-06-18,Martin Walz,6,2020-04-02
478,tt5759506,2017-08-15,2017-08-15,,Avec l'amour,https://www.imdb.com/title/tt5759506/,movie,9.2,67,2017,"Documentary, Comedy, Drama",205,2017-05-02,Ilija Cvetkovski,10,2020-02-28
479,tt0079022,2017-08-16,2017-08-16,,Dae,https://www.imdb.com/title/tt0079022/,short,7.2,16,1979,"Documentary, Short",45,,Stole Popov,8,2017-08-16
